Country_ID,Country_Name
1,Afghanistan
2,Albania
3,Algeria
4,Angola
5,Argentina
6,Armenia
7,Australia
8,Austria
9,Azerbaijan
10,Bahrain
11,Bangladesh
12,Belarus
13,Belgium
14,Belize
15,Benin
16,Bhutan
17,Bolivia
18,Bosnia and Herzegovina
19,Botswana
20,Brazil
21,Bulgaria
22,Burkina Faso
23,Burundi
24,Cambodia
25,Cameroon
26,Canada
27,Central African Republic
28,Chad
29,Chile
30,China
31,Colombia
32,Comoros
33,Congo (Brazzaville)
34,Congo (Kinshasa)
35,Costa Rica
36,Croatia
37,Cuba
38,Cyprus
39,Czech Republic
40,Denmark
41,Djibouti
42,Dominican Republic
43,Ecuador
44,Egypt
45,El Salvador
46,Estonia
47,Ethiopia
48,Finland
49,France
50,Gabon
51,Gambia
52,Georgia
53,Germany
54,Ghana
55,Greece
56,Guatemala
57,Guinea
58,Guyana
59,Haiti
60,Honduras
61,Hong Kong S.A.R. of China
62,Hungary
63,Iceland
64,India
65,Indonesia
66,Iran
67,Iraq
68,Ireland
69,Israel
70,Italy
71,Ivory Coast
72,Jamaica
73,Japan
74,Jordan
75,Kazakhstan
76,Kenya
77,Kosovo
78,Kuwait
79,Kyrgyzstan
80,Laos
81,Latvia
82,Lebanon
83,Lesotho
84,Liberia
85,Libya
86,Lithuania
87,Luxembourg
88,Madagascar
89,Malawi
90,Malaysia
91,Maldives
92,Mali
93,Malta
94,Mauritania
95,Mauritius
96,Mexico
97,Moldova
98,Mongolia
99,Montenegro
100,Morocco
101,Mozambique
102,Myanmar
103,Namibia
104,Nepal
105,Netherlands
106,New Zealand
107,Nicaragua
108,Niger
109,Nigeria
110,North Cyprus
111,North Macedonia
112,Norway
113,Oman
114,Pakistan
115,Palestinian Territories
116,Panama
117,Paraguay
118,Peru
119,Philippines
120,Poland
121,Portugal
122,Qatar
123,Romania
124,Russia
125,Rwanda
126,Saudi Arabia
127,Senegal
128,Serbia
129,Sierra Leone
130,Singapore
131,Slovakia
132,Slovenia
133,Somalia
134,Somaliland region
135,South Africa
136,South Korea
137,South Sudan
138,Spain
139,Sri Lanka
140,Sudan
141,Suriname
142,Swaziland
143,Sweden
144,Switzerland
145,Syria
146,Taiwan Province of China
147,Tajikistan
148,Tanzania
149,Thailand
150,Togo
151,Trinidad and Tobago
152,Tunisia
153,Turkey
154,Turkmenistan
155,Uganda
156,Ukraine
157,United Arab Emirates
158,United Kingdom
159,United States
160,Uruguay
161,Uzbekistan
162,Venezuela
163,Vietnam
164,Yemen
165,Zambia
166,Zimbabwe
